approximator,budget,error,seed
montecarlo,32.0,11465.752854534583,8
montecarlo,64.0,5830.743020324799,8
montecarlo,128.0,3582.495143968158,8
montecarlo,256.0,2260.249590079349,8
montecarlo,512.0,1005.1636118751292,8
svarm,32.0,3132.520954902293,8
svarm,64.0,4430.253085456052,8
svarm,128.0,4153.080765371568,8
svarm,256.0,1864.2278422909988,8
svarm,512.0,511.6586302447104,8
permutation,32.0,990.4844424858976,8
permutation,64.0,1192.8007622109037,8
permutation,128.0,1224.1276325443553,8
permutation,256.0,1242.9015205317696,8
permutation,512.0,1275.2984827492153,8
regression,32.0,24187.46425237316,8
regression,64.0,984.9561919364492,8
regression,128.0,254.63123560181003,8
regression,256.0,146.14531344318107,8
regression,512.0,103.91361104367653,8
